instance,algorithm,iteration,best_cost
tai30a,TS-Reactive,1500,1831522
tai30a,TS-Reactive,1600,1831522
tai30a,TS-Reactive,1700,1831522
tai30a,TS-Reactive,1800,1831522
tai30a,TS-Reactive,1900,1831522
tai30a,TS-Reactive,2000,1831522
tai30a,TS-Reactive,2100,1831522
tai30a,TS-Reactive,2200,1831522
tai30a,TS-Reactive,2300,1831522
tai30a,TS-Reactive,2400,1831522
tai30a,TS-Reactive,2500,1831272
tai30a,TS-Reactive,2600,1831272
tai30a,TS-Reactive,2700,1831272
tai30a,TS-Reactive,2800,1831272
tai30a,TS-Reactive,2900,1831272
tai30a,TS-Reactive,3000,1831272
tai30a,TS-Reactive,3100,1831272
tai30a,TS-Reactive,3200,1831272
tai30a,TS-Reactive,3300,1831272
tai30a,TS-Reactive,3400,1831272
tai30a,TS-Reactive,3500,1831272
tai30a,TS-Reactive,3600,1831272
tai30a,TS-Reactive,3700,1831272
tai30a,TS-Reactive,3800,1831272
tai30a,TS-Reactive,3900,1831272
tai30a,TS-Reactive,4000,1831272
tai30a,TS-Reactive,4100,1831272
tai30a,TS-Reactive,4200,1831272
tai30a,TS-Reactive,4300,1825262
tai30a,TS-Reactive,4400,1825262
tai30a,TS-Reactive,4500,1825262
