instance,algorithm,iteration,best_cost
nug14,TS-Reactive,200,1014
nug14,TS-Reactive,300,1014
nug14,TS-Reactive,400,1014
nug14,TS-Reactive,500,1014
nug14,TS-Reactive,600,1014
nug14,TS-Reactive,700,1014
nug14,TS-Reactive,800,1014
nug14,TS-Reactive,900,1014
nug14,TS-Reactive,1000,1014
nug14,TS-Reactive,1100,1014
nug14,TS-Reactive,1200,1014
nug14,TS-Reactive,1300,1014
nug14,TS-Reactive,1400,1014
nug14,TS-Reactive,1500,1014
nug14,TS-Reactive,1600,1014
nug14,TS-Reactive,1700,1014
nug14,TS-Reactive,1800,1014
nug14,TS-Reactive,1900,1014
nug14,TS-Reactive,2000,1014
nug14,TS-Reactive,2100,1014
nug14,TS-Reactive,2200,1014
nug14,TS-Reactive,2300,1014
nug14,TS-Reactive,2400,1014
nug14,TS-Reactive,2500,1014
nug14,TS-Reactive,2600,1014
nug14,TS-Reactive,2700,1014
nug14,TS-Reactive,2800,1014
nug14,TS-Reactive,2900,1014
nug14,TS-Reactive,3000,1014
chr15a,TS-Original,0,60806
chr15a,TS-Original,100,13020
chr15a,TS-Original,200,13020
chr15a,TS-Original,300,13020
chr15a,TS-Original,400,13020
chr15a,TS-Original,500,13020
chr15a,TS-Original,600,13020
chr15a,TS-Original,700,13020
chr15a,TS-Original,800,13020
chr15a,TS-Original,900,13020
chr15a,TS-Original,1000,13020
chr15a,TS-Original,1100,13020
chr15a,TS-Original,1200,13020
chr15a,TS-Original,1300,13020
chr15a,TS-Original,1400,13020
chr15a,TS-Original,1500,13020
chr15a,TS-Original,1600,13020
chr15a,TS-Original,1700,13020
chr15a,TS-Original,1800,13020
chr15a,TS-Original,1900,13020
chr15a,TS-Original,2000,13020
chr15a,TS-Original,2100,13020
chr15a,TS-Original,2200,13020
chr15a,TS-Original,2300,13020
chr15a,TS-Original,2400,13020
chr15a,TS-Original,2500,13020
chr15a,TS-Original,2600,13020
chr15a,TS-Original,2700,13020
chr15a,TS-Original,2800,13020
chr15a,TS-Original,2900,13020
chr15a,TS-Original,3000,13020
chr15a,TS-Reactive,0,60806
chr15a,TS-Reactive,100,12598
chr15a,TS-Reactive,200,11736
chr15a,TS-Reactive,300,11736
chr15a,TS-Reactive,400,11736
chr15a,TS-Reactive,500,11134
chr15a,TS-Reactive,600,10856
chr15a,TS-Reactive,700,10594
chr15a,TS-Reactive,800,9978
chr15a,TS-Reactive,900,9978
chr15a,TS-Reactive,1000,9978
chr15a,TS-Reactive,1100,9978
chr15a,TS-Reactive,1200,9978
chr15a,TS-Reactive,1300,9978
chr15a,TS-Reactive,1400,9978
chr15a,TS-Reactive,1500,9978
chr15a,TS-Reactive,1600,9978
chr15a,TS-Reactive,1700,9978
chr15a,TS-Reactive,1800,9978
chr15a,TS-Reactive,1900,9978
chr15a,TS-Reactive,2000,9978
chr15a,TS-Reactive,2100,9978
chr15a,TS-Reactive,2200,9978
chr15a,TS-Reactive,2300,9978
chr15a,TS-Reactive,2400,9978
chr15a,TS-Reactive,2500,9978
chr15a,TS-Reactive,2600,9978
chr15a,TS-Reactive,2700,9978
chr15a,TS-Reactive,2800,9978
chr15a,TS-Reactive,2900,9978
chr15a,TS-Reactive,3000,9978
tai15a,TS-Original,0,490902
tai15a,TS-Original,100,394398
tai15a,TS-Original,200,394398
tai15a,TS-Original,300,394398
tai15a,TS-Original,400,394398
tai15a,TS-Original,500,394398
tai15a,TS-Original,600,394398
tai15a,TS-Original,700,394398
tai15a,TS-Original,800,394398
tai15a,TS-Original,900,394398
tai15a,TS-Original,1000,394398
tai15a,TS-Original,1100,394398
tai15a,TS-Original,1200,394398
tai15a,TS-Original,1300,394398
tai15a,TS-Original,1400,394398
tai15a,TS-Original,1500,394398
tai15a,TS-Original,1600,394398
tai15a,TS-Original,1700,394398
tai15a,TS-Original,1800,394398
tai15a,TS-Original,1900,394398
tai15a,TS-Original,2000,394398
tai15a,TS-Original,2100,394398
tai15a,TS-Original,2200,394398
tai15a,TS-Original,2300,394398
tai15a,TS-Original,2400,394398
tai15a,TS-Original,2500,394398
tai15a,TS-Original,2600,394398
tai15a,TS-Original,2700,394398
tai15a,TS-Original,2800,394398
tai15a,TS-Original,2900,394398
tai15a,TS-Original,3000,394398
tai15a,TS-Reactive,0,490902
tai15a,TS-Reactive,100,395346
tai15a,TS-Reactive,200,395346
tai15a,TS-Reactive,300,393734
tai15a,TS-Reactive,400,391574
tai15a,TS-Reactive,500,391426
tai15a,TS-Reactive,600,391426
tai15a,TS-Reactive,700,390782
tai15a,TS-Reactive,800,390782
tai15a,TS-Reactive,900,390782
tai15a,TS-Reactive,1000,390782
tai15a,TS-Reactive,1100,390782
tai15a,TS-Reactive,1200,390782
tai15a,TS-Reactive,1300,390782
tai15a,TS-Reactive,1400,390352
tai15a,TS-Reactive,1500,388214
tai15a,TS-Reactive,1600,388214
tai15a,TS-Reactive,1700,388214
tai15a,TS-Reactive,1800,388214
tai15a,TS-Reactive,1900,388214
tai15a,TS-Reactive,2000,388214
tai15a,TS-Reactive,2100,388214
tai15a,TS-Reactive,2200,388214
tai15a,TS-Reactive,2300,388214
tai15a,TS-Reactive,2400,388214
tai15a,TS-Reactive,2500,388214
tai15a,TS-Reactive,2600,388214
tai15a,TS-Reactive,2700,388214
tai15a,TS-Reactive,2800,388214
tai15a,TS-Reactive,2900,388214
tai15a,TS-Reactive,3000,388214
nug20,TS-Original,0,3302
nug20,TS-Original,100,2600
nug20,TS-Original,200,2600
nug20,TS-Original,300,2596
nug20,TS-Original,400,2596
